RecordId,Date,Recorder,Grid Ref,Count,Comment,Status
23700075,05/02/2022,FC,50.91029 -0.04769,1,,Correct
23700199,05/02/2022,FC,50.91667 -0.03935,1,,Correct
23700266,05/02/2022,FC,50.91557 -0.03539,1,,Correct
23936588,19/02/2022,AG,50.923 -0.047,1,,Correct
23936602,19/02/2022,JO,50.92452 -0.05477,1,,Considered Correct
23936612,19/02/2022,JO,50.92452 -0.05477,1,,Considered Correct
23936644,19/02/2022,JO,50.92313 -0.04539,1,,Considered Correct
24218511,05/03/2022,CC,"50.916944, -0.072222",1,,Considered Correct
24218511,05/03/2022,CC,"50.9175, -0.070278",1,,Considered Correct
24218511,05/03/2022,CC,"50.917222, -0.071944",1,,Considered Correct
24218511,05/03/2022,CC,"50.917222, -0.071944",1,,Considered Correct
24218511,05/03/2022,CC,"50.917222, -0.071944",1,,Considered Correct
24218511,05/03/2022,CC,"50.9175, -0.071111",1,,Considered Correct
24218515,05/03/2022,CC,"50.9175, -0.070833",1,,Considered Correct
24218515,05/03/2022,CC,"50.9175, -0.070833",1,,Considered Correct
24218515,05/03/2022,CC,"50.9175, -0.070278",1,,Considered Correct
24218515,05/03/2022,CC,"50.9175, -0.070278",1,,Considered Correct
24412399,15/03/2022,CC,50.91635 -0.06602,1,,Considered Correct
24514475,22/03/2022,CC,50.91703 -0.05798,1,,Considered Correct
24514698,22/03/2022,CC,50.90630 -0.03786,1,,Considered Correct
24514910,22/03/2022,CC,50.92622 -0.04534,1,,Considered Correct
24515196,22/03/2022,CC,50.92525 -0.04683,1,,Considered Correct
24515248,22/03/2022,CC,50.92546 -0.04690,1,,Considered Correct
24566200,25/03/2022,CC,50.91170 -0.06456,1,,Considered Correct
24706476,30/03/2022,CC,50.92002 -0.06094,1,,Considered Correct
24711998,30/03/2022,CC,50.92006 -0.06182,1,,Considered Correct
24711998,30/03/2022,CC,50.92027 -0.06301,1,,Considered Correct
29216051,23/01/2023,DP,50.88373 -0.04574,1,,Considered Correct
29225143,25/01/2023,DP,50.90611 -0.05666,1,,Considered Correct
29225184,25/01/2023,DP,50.90612 -0.05669,1,,Considered Correct
29225196,25/01/2023,CC,50.90621 -0.05582,1,,Considered Correct
29225263,25/01/2023,DP,50.90469 -0.05525,1,,Considered Correct
29293943,04/02/2023,DP,50.81763 0.03634,1,,Considered Correct
29293964,04/02/2023,DP,50.88731 -0.05153,1,,Considered Correct
29358479,12/02/2023,CC,50.92222 -0.04970,1,,Considered Correct
29358535,12/02/2023,CC,50.92227 -0.04981,1,,Considered Correct
29358621,12/02/2023,CC,50.92229 -0.04974,1,,Considered Correct
29358640,12/02/2023,CC,50.92260 -0.05059,1,,Considered Correct
29358742,12/02/2023,CC,50.92275 -0.05074,1,,Considered Correct
29359809,12/02/2023,AG,50.92323 -0.04712,1,,Considered Correct
